OccurrrenceUrn	TextPassage
urn:cite:hmt:venAsign.220	urn:cts:greekLit:tlg0012.tlg001.msA:2.247
urn:cite:hmt:venAsign.221	urn:cts:greekLit:tlg0012.tlg001.msA:2.252
urn:cite:hmt:venAsign.222	urn:cts:greekLit:tlg0012.tlg001.msA:2.253
urn:cite:hmt:venAsign.223	urn:cts:greekLit:tlg0012.tlg001.msA:2.254
urn:cite:hmt:venAsign.224	urn:cts:greekLit:tlg0012.tlg001.msA:2.255
urn:cite:hmt:venAsign.225	urn:cts:greekLit:tlg0012.tlg001.msA:2.256
urn:cite:hmt:venAsign.226	urn:cts:greekLit:tlg0012.tlg001.msA:2.258
urn:cite:hmt:venAsign.227	urn:cts:greekLit:tlg0012.tlg001.msA:2.260
urn:cite:hmt:venAsign.228	urn:cts:greekLit:tlg0012.tlg001.msA:2.264
urn:cite:hmt:venAsign.229	urn:cts:greekLit:tlg0012.tlg001.msA:2.269
urn:cite:hmt:venAsign.230	urn:cts:greekLit:tlg0012.tlg001.msA:2.276
urn:cite:hmt:venAsign.231	urn:cts:greekLit:tlg0012.tlg001.msA:2.278
urn:cite:hmt:venAsign.232	urn:cts:greekLit:tlg0012.tlg001.msA:2.286
urn:cite:hmt:venAsign.233	urn:cts:greekLit:tlg0012.tlg001.msA:2.291
urn:cite:hmt:venAsign.234	urn:cts:greekLit:tlg0012.tlg001.msA:2.297
urn:cite:hmt:venAsign.235	urn:cts:greekLit:tlg0012.tlg001.msA:2.299
urn:cite:hmt:venAsign.236	urn:cts:greekLit:tlg0012.tlg001.msA:2.300
urn:cite:hmt:venAsign.237	urn:cts:greekLit:tlg0012.tlg001.msA:2.302
urn:cite:hmt:venAsign.238	urn:cts:greekLit:tlg0012.tlg001.msA:2.314
urn:cite:hmt:venAsign.239	urn:cts:greekLit:tlg0012.tlg001.msA:2.318
urn:cite:hmt:venAsign.240	urn:cts:greekLit:tlg0012.tlg001.msA:2.319
urn:cite:hmt:venAsign.241	urn:cts:greekLit:tlg0012.tlg001.msA:2.320
urn:cite:hmt:venAsign.242	urn:cts:greekLit:tlg0012.tlg001.msA:2.328
urn:cite:hmt:venAsign.243	urn:cts:greekLit:tlg0012.tlg001.msA:2.341
urn:cite:hmt:venAsign.244	urn:cts:greekLit:tlg0012.tlg001.msA:2.349
urn:cite:hmt:venAsign.245	urn:cts:greekLit:tlg0012.tlg001.msA:2.353
urn:cite:hmt:venAsign.246	urn:cts:greekLit:tlg0012.tlg001.msA:2.356
urn:cite:hmt:venAsign.247	urn:cts:greekLit:tlg0012.tlg001.msA:2.381
urn:cite:hmt:venAsign.248	urn:cts:greekLit:tlg0012.tlg001.msA:2.385
urn:cite:hmt:venAsign.249	urn:cts:greekLit:tlg0012.tlg001.msA:2.397
urn:cite:hmt:venAsign.250	urn:cts:greekLit:tlg0012.tlg001.msA:2.412
urn:cite:hmt:venAsign.251	urn:cts:greekLit:tlg0012.tlg001.msA:2.417
urn:cite:hmt:venAsign.252	urn:cts:greekLit:tlg0012.tlg001.msA:2.422
urn:cite:hmt:venAsign.253	urn:cts:greekLit:tlg0012.tlg001.msA:2.424
urn:cite:hmt:venAsign.254	urn:cts:greekLit:tlg0012.tlg001.msA:2.435
urn:cite:hmt:venAsign.255	urn:cts:greekLit:tlg0012.tlg001.msA:2.438
urn:cite:hmt:venAsign.256	urn:cts:greekLit:tlg0012.tlg001.msA:2.440
urn:cite:hmt:venAsign.257	urn:cts:greekLit:tlg0012.tlg001.msA:2.453
urn:cite:hmt:venAsign.258	urn:cts:greekLit:tlg0012.tlg001.msA:2.454
urn:cite:hmt:venAsign.259	urn:cts:greekLit:tlg0012.tlg001.msA:2.455
urn:cite:hmt:venAsign.260	urn:cts:greekLit:tlg0012.tlg001.msA:2.480
urn:cite:hmt:venAsign.261	urn:cts:greekLit:tlg0012.tlg001.msA:2.485
urn:cite:hmt:venAsign.262	urn:cts:greekLit:tlg0012.tlg001.msA:2.486
