Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:1.174,"urn:cite:hmt:vaimg.VA015RN_0016@0.168,0.6582,0.374,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:1.175,"urn:cite:hmt:vaimg.VA015RN_0016@0.175,0.6769,0.344,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:1.176,"urn:cite:hmt:vaimg.VA015VN_0517@0.483,0.2089,0.304,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.177,"urn:cite:hmt:vaimg.VA015VN_0517@0.484,0.2269,0.304,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.178,"urn:cite:hmt:vaimg.VA015VN_0517@0.49,0.2472,0.326,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.179,"urn:cite:hmt:vaimg.VA015VN_0517@0.488,0.2645,0.318,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.180,"urn:cite:hmt:vaimg.VA015VN_0517@0.49,0.2847,0.328,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.181,"urn:cite:hmt:vaimg.VA015VN_0517@0.487,0.3028,0.32,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.182,"urn:cite:hmt:vaimg.VA015VN_0517@0.49,0.3223,0.341,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.183,"urn:cite:hmt:vaimg.VA015VN_0517@0.479,0.3403,0.333,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:1.184,"urn:cite:hmt:vaimg.VA015VN_0517@0.478,0.3606,0.333,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:1.185,"urn:cite:hmt:vaimg.VA015VN_0517@0.481,0.3809,0.34,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:1.186,"urn:cite:hmt:vaimg.VA015VN_0517@0.474,0.3997,0.35,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.187,"urn:cite:hmt:vaimg.VA015VN_0517@0.474,0.4192,0.333,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.188,"urn:cite:hmt:vaimg.VA015VN_0517@0.474,0.435,0.333,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.189,"urn:cite:hmt:vaimg.VA015VN_0517@0.481,0.456,0.322,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.190,"urn:cite:hmt:vaimg.VA015VN_0517@0.481,0.4741,0.333,0.0255"
